outcome code,count,year,month,date_formatted,,,,,
OT,8,2005,4,4/1/2005,,1,,,
DS,1,2005,6,6/1/2005,,1,,,
HO,5,2005,4,4/1/2005,,1,,,
CA,1,2005,6,6/1/2005,,1,,,
HO,3,2005,5,5/1/2005,,1,,,
OT,6,2005,12,12/1/2005,,1,,,
DE,1,2005,2,2/1/2005,,1,,,
CA,2,2005,9,9/1/2005,,1,,,
OT,2,2005,3,3/1/2005,,1,,,
HO,2,2005,3,3/1/2005,,1,,,
DE,1,2005,8,8/1/2005,,1,,,
OT,6,2005,9,9/1/2005,,1,,,
HO,3,2005,9,9/1/2005,,1,,,
CA,5,2005,4,4/1/2005,,1,,,
DS,2,2005,5,5/1/2005,,1,,,
HO,2,2005,6,6/1/2005,,1,,,
CA,1,2005,5,5/1/2005,,1,,,
DE,1,2005,1,1/1/2005,,1,,,
OT,5,2005,6,6/1/2005,,1,,,
DE,1,2005,7,7/1/2005,,1,,,
DS,1,2005,12,12/1/2005,,1,,,
CA,1,2006,6,6/1/2006,,1,,,
OT,16,2006,12,12/1/2006,,1,,,
HO,8,2006,5,5/1/2006,,1,,,
OT,11,2006,5,5/1/2006,,1,,,
HO,10,2006,12,12/1/2006,,1,,,
LT,1,2006,11,11/1/2006,,1,,,
DE,21,2006,11,11/1/2006,,1,,,
OT,5,2006,4,4/1/2006,,1,,,
HO,4,2006,3,3/1/2006,,1,,,
DE,2,2006,8,8/1/2006,,1,,,
OT,9,2006,3,3/1/2006,,1,,,
HO,6,2006,9,9/1/2006,,1,,,
CA,2,2006,3,3/1/2006,,1,,,
OT,3,2006,9,9/1/2006,,1,,,
LT,2,2006,10,10/1/2006,,1,,,
LT,1,2006,7,7/1/2006,,1,,,
OT,7,2006,6,6/1/2006,,1,,,
DE,2,2006,7,7/1/2006,,1,,,
DE,7,2006,10,10/1/2006,,1,,,
CA,4,2006,12,12/1/2006,,1,,,
DS,1,2006,12,12/1/2006,,1,,,
HO,4,2006,6,6/1/2006,,1,,,
LT,2,2006,1,1/1/2006,,1,,,
DE,4,2006,1,1/1/2006,,1,,,
CA,1,2006,8,8/1/2006,,1,,,
LT,1,2006,9,9/1/2006,,1,,,
DE,2,2006,9,9/1/2006,,1,,,
DE,2,2006,6,6/1/2006,,1,,,
OT,11,2006,7,7/1/2006,,1,,,
OT,51,2006,10,10/1/2006,,1,,,
HO,3,2006,1,1/1/2006,,1,,,
HO,40,2006,10,10/1/2006,,1,,,
